Unnamed: 0,ZipCode,CountyFIPS,CensusTract,CensusBlock,Assigned-or-Unassigned-USDA-Classification,State-County-TractFIPSCode,State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,UrbanThreshold,RuralThreshold,Urban-or-Rural-USDA-Classification,Urban-or-Rural-CENSUS-Classification,Match/Mismatch
8912,53714,55025.0,2700,2011.0,Assigned,55025002700,55025.0,WI,Dane County,55025002700.0,1.0,100.0,0.0,Urban,Urban,Match
8913,53711,55025.0,402,1017.0,Assigned,55025000402,55025.0,WI,Dane County,55025000402.0,1.0,100.0,0.0,Urban,Urban,Match
8916,53706,55025.0,1102,2001.0,Assigned,55025001102,55025.0,WI,Dane County,55025001102.0,1.0,100.0,0.0,Urban,Urban,Match
8918,53715,55025.0,1200,4009.0,Assigned,55025001200,55025.0,WI,Dane County,55025001200.0,1.0,100.0,0.0,Urban,Urban,Match
8919,53711,55025.0,600,2015.0,Assigned,55025000600,55025.0,WI,Dane County,55025000600.0,1.0,100.0,0.0,Urban,Urban,Match
8922,53703,55025.0,1802,1003.0,Assigned,55025001802,55025.0,WI,Dane County,55025001802.0,1.0,100.0,0.0,Urban,Urban,Match
8924,53711,55025.0,700,3003.0,Assigned,55025000700,55025.0,WI,Dane County,55025000700.0,1.0,100.0,0.0,Urban,Urban,Match
8925,53705,55025.0,902,4007.0,Assigned,55025000902,55025.0,WI,Dane County,55025000902.0,1.0,100.0,0.0,Urban,Urban,Match
8929,53209,55079.0,60200,4000.0,Assigned,55079060200,55079.0,WI,Milwaukee County,55079060200.0,1.0,100.0,0.0,Urban,Urban,Match
8930,53715,55025.0,1603,2002.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
8931,54935,55039.0,40900,1000.0,Assigned,55039040900,55039.0,WI,Fond du Lac County,55039040900.0,1.0,100.0,0.0,Urban,Urban,Match
8937,54303,55009.0,303,2000.0,Assigned,55009000303,55009.0,WI,Brown County,55009000303.0,1.0,100.0,0.0,Urban,Urban,Match
8941,54303,55009.0,303,2000.0,Assigned,55009000303,55009.0,WI,Brown County,55009000303.0,1.0,100.0,0.0,Urban,Urban,Match
8943,53703,55025.0,1603,1002.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
8945,53715,55025.0,1200,4022.0,Assigned,55025001200,55025.0,WI,Dane County,55025001200.0,1.0,100.0,0.0,Urban,Urban,Match
8946,53704,55025.0,2301,1018.0,Assigned,55025002301,55025.0,WI,Dane County,55025002301.0,1.0,100.0,0.0,Urban,Urban,Match
8948,53221,55079.0,21300,1007.0,Assigned,55079021300,55079.0,WI,Milwaukee County,55079021300.0,1.0,100.0,0.0,Urban,Urban,Match
8950,53711,55025.0,407,3017.0,Assigned,55025000407,55025.0,WI,Dane County,55025000407.0,1.0,100.0,0.0,Urban,Urban,Match
8952,53703,55025.0,1604,4001.0,Assigned,55025001604,55025.0,WI,Dane County,55025001604.0,1.0,100.0,0.0,Urban,Urban,Match
8953,53404,55101.0,1202,2009.0,Assigned,55101001202,55101.0,WI,Racine County,55101001202.0,1.0,100.0,0.0,Urban,Urban,Match
8958,53221,55079.0,120502,2006.0,Assigned,55079120502,55079.0,WI,Milwaukee County,55079120502.0,1.0,100.0,0.0,Urban,Urban,Match
8960,53715,55025.0,1603,2002.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
8964,53703,55025.0,1606,2004.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
8969,53706,55025.0,1102,2001.0,Assigned,55025001102,55025.0,WI,Dane County,55025001102.0,1.0,100.0,0.0,Urban,Urban,Match
8971,53704,55025.0,1804,2012.0,Assigned,55025001804,55025.0,WI,Dane County,55025001804.0,1.0,100.0,0.0,Urban,Urban,Match
8973,53714,55025.0,2700,3028.0,Assigned,55025002700,55025.0,WI,Dane County,55025002700.0,1.0,100.0,0.0,Urban,Urban,Match
8975,53711,55025.0,1101,2016.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
8976,53703,55025.0,1603,2000.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
8981,53209,55079.0,60200,4000.0,Assigned,55079060200,55079.0,WI,Milwaukee County,55079060200.0,1.0,100.0,0.0,Urban,Urban,Match
8982,53209,55079.0,60200,4000.0,Assigned,55079060200,55079.0,WI,Milwaukee County,55079060200.0,1.0,100.0,0.0,Urban,Urban,Match
8983,53717,55025.0,205,3009.0,Assigned,55025000205,55025.0,WI,Dane County,55025000205.0,1.0,100.0,0.0,Urban,Urban,Match
8984,53211,55079.0,80400,3003.0,Assigned,55079080400,55079.0,WI,Milwaukee County,55079080400.0,1.0,100.0,0.0,Urban,Urban,Match
8988,53209,55079.0,60200,4000.0,Assigned,55079060200,55079.0,WI,Milwaukee County,55079060200.0,1.0,100.0,0.0,Urban,Urban,Match
8992,53705,55025.0,902,4007.0,Assigned,55025000902,55025.0,WI,Dane County,55025000902.0,1.0,100.0,0.0,Urban,Urban,Match
8995,53717,55025.0,204,2000.0,Assigned,55025000204,55025.0,WI,Dane County,55025000204.0,1.0,100.0,0.0,Urban,Urban,Match
8996,53715,55025.0,1606,3003.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
8998,53704,55025.0,2100,3004.0,Assigned,55025002100,55025.0,WI,Dane County,55025002100.0,1.0,100.0,0.0,Urban,Urban,Match
9001,53715,55025.0,1101,1019.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9003,53703,55025.0,1606,2004.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
9005,53711,55025.0,1000,2015.0,Assigned,55025001000,55025.0,WI,Dane County,55025001000.0,1.0,100.0,0.0,Urban,Urban,Match
9009,53711,55025.0,600,1014.0,Assigned,55025000600,55025.0,WI,Dane County,55025000600.0,1.0,100.0,0.0,Urban,Urban,Match
9010,53715,55025.0,1603,1005.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9011,53715,55025.0,1101,2017.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9012,53703,55025.0,1606,1002.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
9013,53706,55025.0,1606,3002.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
9015,53715,55025.0,1101,1013.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9019,53705,55025.0,800,1010.0,Assigned,55025000800,55025.0,WI,Dane County,55025000800.0,1.0,100.0,0.0,Urban,Urban,Match
9022,53209,55079.0,60200,4000.0,Assigned,55079060200,55079.0,WI,Milwaukee County,55079060200.0,1.0,100.0,0.0,Urban,Urban,Match
9027,53705,55025.0,902,4003.0,Assigned,55025000902,55025.0,WI,Dane County,55025000902.0,1.0,100.0,0.0,Urban,Urban,Match
9029,53719,55025.0,406,1041.0,Assigned,55025000406,55025.0,WI,Dane County,55025000406.0,1.0,100.0,0.0,Urban,Urban,Match
9032,53218,55079.0,2900,2000.0,Assigned,55079002900,55079.0,WI,Milwaukee County,55079002900.0,1.0,100.0,0.0,Urban,Urban,Match
9034,53703,55025.0,1604,3001.0,Assigned,55025001604,55025.0,WI,Dane County,55025001604.0,1.0,100.0,0.0,Urban,Urban,Match
9035,53221,55079.0,21600,1010.0,Assigned,55079021600,55079.0,WI,Milwaukee County,55079021600.0,1.0,100.0,0.0,Urban,Urban,Match
9036,53714,55025.0,3002,2017.0,Assigned,55025003002,55025.0,WI,Dane County,55025003002.0,1.0,100.0,0.0,Urban,Urban,Match
9038,53207,55079.0,17900,3008.0,Assigned,55079017900,55079.0,WI,Milwaukee County,55079017900.0,1.0,100.0,0.0,Urban,Urban,Match
9039,53715,55025.0,1200,4015.0,Assigned,55025001200,55025.0,WI,Dane County,55025001200.0,1.0,100.0,0.0,Urban,Urban,Match
9040,53715,55025.0,1603,1004.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9042,53715,55025.0,1101,2012.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9043,53703,55025.0,1603,2004.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9046,53404,55101.0,500,2003.0,Assigned,55101000500,55101.0,WI,Racine County,55101000500.0,1.0,100.0,0.0,Urban,Urban,Match
9048,53545,55105.0,200,3027.0,Assigned,55105000200,55105.0,WI,Rock County,55105000200.0,1.0,100.0,0.0,Urban,Urban,Match
9050,53715,55025.0,1101,2011.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9051,53706,55025.0,1606,3002.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
9054,53715,55025.0,1101,1013.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9056,53711,55025.0,1000,1022.0,Assigned,55025001000,55025.0,WI,Dane County,55025001000.0,1.0,100.0,0.0,Urban,Urban,Match
9059,53715,55025.0,1200,4009.0,Assigned,55025001200,55025.0,WI,Dane County,55025001200.0,1.0,100.0,0.0,Urban,Urban,Match
9060,53715,55025.0,1101,2012.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9065,53715,55025.0,1101,1019.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9067,53703,55025.0,1606,1001.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
9071,53715,55025.0,1603,2002.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9073,53703,55025.0,1603,2004.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9076,54303,55009.0,303,2000.0,Assigned,55009000303,55009.0,WI,Brown County,55009000303.0,1.0,100.0,0.0,Urban,Urban,Match
9080,53713,55025.0,1401,1035.0,Assigned,55025001401,55025.0,WI,Dane County,55025001401.0,1.0,100.0,0.0,Urban,Urban,Match
9084,53711,55025.0,600,2015.0,Assigned,55025000600,55025.0,WI,Dane County,55025000600.0,1.0,100.0,0.0,Urban,Urban,Match
9085,53703,55025.0,1604,4003.0,Assigned,55025001604,55025.0,WI,Dane County,55025001604.0,1.0,100.0,0.0,Urban,Urban,Match
9086,53715,55025.0,1603,2002.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9092,53717,55025.0,204,3014.0,Assigned,55025000204,55025.0,WI,Dane County,55025000204.0,1.0,100.0,0.0,Urban,Urban,Match
9093,53717,55025.0,204,3000.0,Assigned,55025000204,55025.0,WI,Dane County,55025000204.0,1.0,100.0,0.0,Urban,Urban,Match
9096,53715,55025.0,1101,1013.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9097,53703,55025.0,1604,4001.0,Assigned,55025001604,55025.0,WI,Dane County,55025001604.0,1.0,100.0,0.0,Urban,Urban,Match
9099,53716,55025.0,2900,3010.0,Assigned,55025002900,55025.0,WI,Dane County,55025002900.0,1.0,100.0,0.0,Urban,Urban,Match
9101,53703,55025.0,1604,2005.0,Assigned,55025001604,55025.0,WI,Dane County,55025001604.0,1.0,100.0,0.0,Urban,Urban,Match
9102,53590,55025.0,11504,2014.0,Assigned,55025011504,55025.0,WI,Dane County,55025011504.0,1.0,100.0,0.0,Urban,Urban,Match
9104,53703,55025.0,1606,2001.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
9105,53715,55025.0,1603,2002.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9110,53714,55025.0,10300,1000.0,Assigned,55025010300,55025.0,WI,Dane County,55025010300.0,1.0,100.0,0.0,Urban,Urban,Match
9111,53072,55133.0,203602,4001.0,Assigned,55133203602,55133.0,WI,Waukesha County,55133203602.0,1.0,100.0,0.0,Urban,Urban,Match
9112,53703,55025.0,1603,1006.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9113,53706,55025.0,1102,2000.0,Assigned,55025001102,55025.0,WI,Dane County,55025001102.0,1.0,100.0,0.0,Urban,Urban,Match
9114,53715,55025.0,1101,1019.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9115,53703,55025.0,1604,3000.0,Assigned,55025001604,55025.0,WI,Dane County,55025001604.0,1.0,100.0,0.0,Urban,Urban,Match
9116,53704,55025.0,2100,4015.0,Assigned,55025002100,55025.0,WI,Dane County,55025002100.0,1.0,100.0,0.0,Urban,Urban,Match
9119,53211,55079.0,80200,3009.0,Assigned,55079080200,55079.0,WI,Milwaukee County,55079080200.0,1.0,100.0,0.0,Urban,Urban,Match
9127,53142,55059.0,1500,3016.0,Assigned,55059001500,55059.0,WI,Kenosha County,55059001500.0,1.0,100.0,0.0,Urban,Urban,Match
9128,53209,55079.0,2500,3002.0,Assigned,55079002500,55079.0,WI,Milwaukee County,55079002500.0,1.0,100.0,0.0,Urban,Urban,Match
9133,54601,55063.0,1200,2005.0,Assigned,55063001200,55063.0,WI,La Crosse County,55063001200.0,1.0,100.0,0.0,Urban,Urban,Match
9137,53703,55025.0,1603,2004.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9142,53715,55025.0,1101,1018.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9143,53590,55025.0,11504,2036.0,Assigned,55025011504,55025.0,WI,Dane County,55025011504.0,1.0,100.0,0.0,Urban,Urban,Match
9144,53703,55025.0,1604,2002.0,Assigned,55025001604,55025.0,WI,Dane County,55025001604.0,1.0,100.0,0.0,Urban,Urban,Match
9146,53706,55025.0,1101,1002.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9149,53703,55025.0,1604,3001.0,Assigned,55025001604,55025.0,WI,Dane County,55025001604.0,1.0,100.0,0.0,Urban,Urban,Match
9150,53715,55025.0,1606,3003.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
9151,53716,55025.0,10300,2009.0,Assigned,55025010300,55025.0,WI,Dane County,55025010300.0,1.0,100.0,0.0,Urban,Urban,Match
9153,53715,55025.0,1101,2011.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9156,53711,55025.0,600,3000.0,Assigned,55025000600,55025.0,WI,Dane County,55025000600.0,1.0,100.0,0.0,Urban,Urban,Match
9158,53716,55025.0,10300,1010.0,Assigned,55025010300,55025.0,WI,Dane County,55025010300.0,1.0,100.0,0.0,Urban,Urban,Match
9161,53714,55025.0,3001,2007.0,Assigned,55025003001,55025.0,WI,Dane County,55025003001.0,1.0,100.0,0.0,Urban,Urban,Match
9163,53704,55025.0,2302,1004.0,Assigned,55025002302,55025.0,WI,Dane County,55025002302.0,1.0,100.0,0.0,Urban,Urban,Match
9165,53716,55025.0,2900,3011.0,Assigned,55025002900,55025.0,WI,Dane County,55025002900.0,1.0,100.0,0.0,Urban,Urban,Match
9168,53703,55025.0,1604,3000.0,Assigned,55025001604,55025.0,WI,Dane County,55025001604.0,1.0,100.0,0.0,Urban,Urban,Match
9169,53545,55105.0,100,1000.0,Assigned,55105000100,55105.0,WI,Rock County,55105000100.0,1.0,100.0,0.0,Urban,Urban,Match
9172,53081,55117.0,400,2018.0,Assigned,55117000400,55117.0,WI,Sheboygan County,55117000400.0,1.0,100.0,0.0,Urban,Urban,Match
9178,53703,55025.0,1804,1010.0,Assigned,55025001804,55025.0,WI,Dane County,55025001804.0,1.0,100.0,0.0,Urban,Urban,Match
9180,53714,55025.0,3001,3001.0,Assigned,55025003001,55025.0,WI,Dane County,55025003001.0,1.0,100.0,0.0,Urban,Urban,Match
9188,53704,55025.0,2000,4025.0,Assigned,55025002000,55025.0,WI,Dane County,55025002000.0,1.0,100.0,0.0,Urban,Urban,Match
9199,53211,55079.0,70200,2005.0,Assigned,55079070200,55079.0,WI,Milwaukee County,55079070200.0,1.0,100.0,0.0,Urban,Urban,Match
9211,54301,55009.0,1300,1006.0,Assigned,55009001300,55009.0,WI,Brown County,55009001300.0,1.0,100.0,0.0,Urban,Urban,Match
9214,53703,55025.0,1802,1015.0,Assigned,55025001802,55025.0,WI,Dane County,55025001802.0,1.0,100.0,0.0,Urban,Urban,Match
9220,53704,55025.0,2000,3027.0,Assigned,55025002000,55025.0,WI,Dane County,55025002000.0,1.0,100.0,0.0,Urban,Urban,Match
9224,53711,55025.0,700,1004.0,Assigned,55025000700,55025.0,WI,Dane County,55025000700.0,1.0,100.0,0.0,Urban,Urban,Match
9225,53711,55025.0,407,3021.0,Assigned,55025000407,55025.0,WI,Dane County,55025000407.0,1.0,100.0,0.0,Urban,Urban,Match
9226,53172,55079.0,170400,2008.0,Assigned,55079170400,55079.0,WI,Milwaukee County,55079170400.0,1.0,100.0,0.0,Urban,Urban,Match
9230,53714,55025.0,2700,1008.0,Assigned,55025002700,55025.0,WI,Dane County,55025002700.0,1.0,100.0,0.0,Urban,Urban,Match
9232,53703,55025.0,1802,2000.0,Assigned,55025001802,55025.0,WI,Dane County,55025001802.0,1.0,100.0,0.0,Urban,Urban,Match
9237,53704,55025.0,2301,2021.0,Assigned,55025002301,55025.0,WI,Dane County,55025002301.0,1.0,100.0,0.0,Urban,Urban,Match
9248,53098,55027.0,962000,1002.0,Assigned,55027962000,55027.0,WI,Dodge County,55027962000.0,4.0,100.0,0.0,Urban,Urban,Match
9250,53094,55055.0,100200,4004.0,Assigned,55055100200,55055.0,WI,Jefferson County,55055100200.0,4.0,100.0,0.0,Urban,Urban,Match
9252,53703,55025.0,1605,2003.0,Assigned,55025001605,55025.0,WI,Dane County,55025001605.0,1.0,100.0,0.0,Urban,Urban,Match
9262,53711,55025.0,700,1004.0,Assigned,55025000700,55025.0,WI,Dane County,55025000700.0,1.0,100.0,0.0,Urban,Urban,Match
9267,53225,55079.0,400,2002.0,Assigned,55079000400,55079.0,WI,Milwaukee County,55079000400.0,1.0,100.0,0.0,Urban,Urban,Match
9268,53704,55025.0,2000,4022.0,Assigned,55025002000,55025.0,WI,Dane County,55025002000.0,1.0,100.0,0.0,Urban,Urban,Match
9278,53226,55079.0,91100,2004.0,Assigned,55079091100,55079.0,WI,Milwaukee County,55079091100.0,1.0,100.0,0.0,Urban,Urban,Match
9284,53714,55025.0,3002,2007.0,Assigned,55025003002,55025.0,WI,Dane County,55025003002.0,1.0,100.0,0.0,Urban,Urban,Match
9285,53715,55025.0,1603,2002.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9292,53590,55025.0,11505,2002.0,Assigned,55025011505,55025.0,WI,Dane County,55025011505.0,1.0,100.0,0.0,Urban,Urban,Match
9301,53098,55027.0,962000,1002.0,Assigned,55027962000,55027.0,WI,Dodge County,55027962000.0,4.0,100.0,0.0,Urban,Urban,Match
9302,53094,55055.0,100200,3026.0,Assigned,55055100200,55055.0,WI,Jefferson County,55055100200.0,4.0,100.0,0.0,Urban,Urban,Match
9309,54304,55009.0,21301,3020.0,Assigned,55009021301,55009.0,WI,Brown County,55009021301.0,1.0,100.0,0.0,Urban,Urban,Match
9310,53211,55079.0,7600,3007.0,Assigned,55079007600,55079.0,WI,Milwaukee County,55079007600.0,1.0,100.0,0.0,Urban,Urban,Match
9311,53211,55079.0,7600,3007.0,Assigned,55079007600,55079.0,WI,Milwaukee County,55079007600.0,1.0,100.0,0.0,Urban,Urban,Match
9312,53220,55079.0,19900,2007.0,Assigned,55079019900,55079.0,WI,Milwaukee County,55079019900.0,1.0,100.0,0.0,Urban,Urban,Match
9313,53715,55025.0,1603,2002.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9315,53022,55131.0,470202,4004.0,Assigned,55131470202,55131.0,WI,Washington County,55131470202.0,1.0,100.0,0.0,Urban,Urban,Match
9326,53403,55101.0,700,2017.0,Assigned,55101000700,55101.0,WI,Racine County,55101000700.0,1.0,100.0,0.0,Urban,Urban,Match
9330,53211,55079.0,7600,3007.0,Assigned,55079007600,55079.0,WI,Milwaukee County,55079007600.0,1.0,100.0,0.0,Urban,Urban,Match
9333,53703,55025.0,1802,1015.0,Assigned,55025001802,55025.0,WI,Dane County,55025001802.0,1.0,100.0,0.0,Urban,Urban,Match
9337,53223,55079.0,50101,3005.0,Assigned,55079050101,55079.0,WI,Milwaukee County,55079050101.0,1.0,100.0,0.0,Urban,Urban,Match
9341,53715,55025.0,1200,4010.0,Assigned,55025001200,55025.0,WI,Dane County,55025001200.0,1.0,100.0,0.0,Urban,Urban,Match
9352,53716,55025.0,3100,2000.0,Assigned,55025003100,55025.0,WI,Dane County,55025003100.0,1.0,100.0,0.0,Urban,Urban,Match
9358,53051,55133.0,200202,2004.0,Assigned,55133200202,55133.0,WI,Waukesha County,55133200202.0,1.0,100.0,0.0,Urban,Urban,Match
9362,53562,55025.0,11101,2003.0,Assigned,55025011101,55025.0,WI,Dane County,55025011101.0,1.0,100.0,0.0,Urban,Urban,Match
9371,53213,55079.0,90900,4007.0,Assigned,55079090900,55079.0,WI,Milwaukee County,55079090900.0,1.0,100.0,0.0,Urban,Urban,Match
9373,53704,55025.0,2302,1030.0,Assigned,55025002302,55025.0,WI,Dane County,55025002302.0,1.0,100.0,0.0,Urban,Urban,Match
9383,53703,55025.0,1804,1022.0,Assigned,55025001804,55025.0,WI,Dane County,55025001804.0,1.0,100.0,0.0,Urban,Urban,Match
9385,53703,55025.0,1802,1014.0,Assigned,55025001802,55025.0,WI,Dane County,55025001802.0,1.0,100.0,0.0,Urban,Urban,Match
9394,53098,55027.0,962000,1002.0,Assigned,55027962000,55027.0,WI,Dodge County,55027962000.0,4.0,100.0,0.0,Urban,Urban,Match
9402,53213,55079.0,90900,4007.0,Assigned,55079090900,55079.0,WI,Milwaukee County,55079090900.0,1.0,100.0,0.0,Urban,Urban,Match
9403,53716,55025.0,3100,3006.0,Assigned,55025003100,55025.0,WI,Dane County,55025003100.0,1.0,100.0,0.0,Urban,Urban,Match
9404,53705,55025.0,10100,1007.0,Assigned,55025010100,55025.0,WI,Dane County,55025010100.0,1.0,100.0,0.0,Urban,Urban,Match
9407,53719,55025.0,408,1010.0,Assigned,55025000408,55025.0,WI,Dane County,55025000408.0,1.0,100.0,0.0,Urban,Urban,Match
9420,53711,55025.0,1200,3004.0,Assigned,55025001200,55025.0,WI,Dane County,55025001200.0,1.0,100.0,0.0,Urban,Urban,Match
9427,53226,55079.0,90600,1017.0,Assigned,55079090600,55079.0,WI,Milwaukee County,55079090600.0,1.0,100.0,0.0,Urban,Urban,Match
9431,53704,55025.0,1804,2003.0,Assigned,55025001804,55025.0,WI,Dane County,55025001804.0,1.0,100.0,0.0,Urban,Urban,Match
9441,53706,55025.0,1606,3002.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
9447,53703,55025.0,1606,1000.0,Assigned,55025001606,55025.0,WI,Dane County,55025001606.0,1.0,100.0,0.0,Urban,Urban,Match
9449,53704,55025.0,1804,2008.0,Assigned,55025001804,55025.0,WI,Dane County,55025001804.0,1.0,100.0,0.0,Urban,Urban,Match
9454,53219,55079.0,19200,3001.0,Assigned,55079019200,55079.0,WI,Milwaukee County,55079019200.0,1.0,100.0,0.0,Urban,Urban,Match
9456,53715,55025.0,1101,1017.0,Assigned,55025001101,55025.0,WI,Dane County,55025001101.0,1.0,100.0,0.0,Urban,Urban,Match
9458,53705,55025.0,800,3002.0,Assigned,55025000800,55025.0,WI,Dane County,55025000800.0,1.0,100.0,0.0,Urban,Urban,Match
9459,53405,55101.0,901,3036.0,Assigned,55101000901,55101.0,WI,Racine County,55101000901.0,1.0,100.0,0.0,Urban,Urban,Match
9460,53717,55025.0,205,3011.0,Assigned,55025000205,55025.0,WI,Dane County,55025000205.0,1.0,100.0,0.0,Urban,Urban,Match
9462,53216,55079.0,3500,2006.0,Assigned,55079003500,55079.0,WI,Milwaukee County,55079003500.0,1.0,100.0,0.0,Urban,Urban,Match
9463,53711,55025.0,1402,4014.0,Assigned,55025001402,55025.0,WI,Dane County,55025001402.0,1.0,100.0,0.0,Urban,Urban,Match
9469,53214,55079.0,100400,2007.0,Assigned,55079100400,55079.0,WI,Milwaukee County,55079100400.0,1.0,100.0,0.0,Urban,Urban,Match
9477,53511,55105.0,1800,1016.0,Assigned,55105001800,55105.0,WI,Rock County,55105001800.0,1.0,100.0,0.0,Urban,Urban,Match
9479,53703,55025.0,1704,1009.0,Assigned,55025001704,55025.0,WI,Dane County,55025001704.0,1.0,100.0,0.0,Urban,Urban,Match
9484,53703,55025.0,1603,1003.0,Assigned,55025001603,55025.0,WI,Dane County,55025001603.0,1.0,100.0,0.0,Urban,Urban,Match
9490,53705,55025.0,902,4010.0,Assigned,55025000902,55025.0,WI,Dane County,55025000902.0,1.0,100.0,0.0,Urban,Urban,Match
9495,53705,55025.0,202,2012.0,Assigned,55025000202,55025.0,WI,Dane County,55025000202.0,1.0,100.0,0.0,Urban,Urban,Match
9497,54935,55039.0,40900,1000.0,Assigned,55039040900,55039.0,WI,Fond du Lac County,55039040900.0,1.0,100.0,0.0,Urban,Urban,Match
9502,53218,55079.0,1500,1014.0,Assigned,55079001500,55079.0,WI,Milwaukee County,55079001500.0,1.0,100.0,0.0,Urban,Urban,Match
9507,53220,55079.0,19700,4006.0,Assigned,55079019700,55079.0,WI,Milwaukee County,55079019700.0,1.0,100.0,0.0,Urban,Urban,Match
9511,53211,55079.0,7600,3007.0,Assigned,55079007600,55079.0,WI,Milwaukee County,55079007600.0,1.0,100.0,0.0,Urban,Urban,Match
9514,53714,55025.0,3002,1005.0,Assigned,55025003002,55025.0,WI,Dane County,55025003002.0,1.0,100.0,0.0,Urban,Urban,Match
9515,54901,55139.0,200,2004.0,Assigned,55139000200,55139.0,WI,Winnebago County,55139000200.0,1.0,100.0,0.0,Urban,Urban,Match
9521,53711,55025.0,600,1020.0,Assigned,55025000600,55025.0,WI,Dane County,55025000600.0,1.0,100.0,0.0,Urban,Urban,Match
9523,53916,55027.0,961000,2010.0,Assigned,55027961000,55027.0,WI,Dodge County,55027961000.0,4.0,100.0,0.0,Urban,Urban,Match
9524,53705,55025.0,10100,1021.0,Assigned,55025010100,55025.0,WI,Dane County,55025010100.0,1.0,100.0,0.0,Urban,Urban,Match
9530,53714,55025.0,3001,3002.0,Assigned,55025003001,55025.0,WI,Dane County,55025003001.0,1.0,100.0,0.0,Urban,Urban,Match
