Unnamed: 0,ZipCode,CountyFIPS,CensusTract,CensusBlock,Assigned-or-Unassigned-USDA-Classification,State-County-TractFIPSCode,State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,UrbanThreshold,RuralThreshold,Urban-or-Rural-USDA-Classification,Urban-or-Rural-CENSUS-Classification,Match/Mismatch
2273,54904,55139.0,2000,4079.0,Assigned,55139002000,55139.0,WI,Winnebago County,55139002000.0,2.0,,,Urban,,Mismatch
2274,53024,55089.0,650101,3008.0,Assigned,55089650101,55089.0,WI,Ozaukee County,55089650101.0,1.0,,,Urban,,Mismatch
2275,53066,55133.0,204200,2050.0,Assigned,55133204200,55133.0,WI,Waukesha County,55133204200.0,1.0,,,Urban,,Mismatch
2289,53024,55089.0,650101,3008.0,Assigned,55089650101,55089.0,WI,Ozaukee County,55089650101.0,1.0,,,Urban,,Mismatch
2292,54964,55139.0,2000,4006.0,Assigned,55139002000,55139.0,WI,Winnebago County,55139002000.0,2.0,,,Urban,,Mismatch
2310,53024,55089.0,640100,5006.0,Assigned,55089640100,55089.0,WI,Ozaukee County,55089640100.0,1.0,,,Urban,,Mismatch
2318,53562,55025.0,10904,2044.0,Assigned,55025010904,55025.0,WI,Dane County,55025010904.0,1.0,,,Urban,,Mismatch
2320,53562,55025.0,10904,2044.0,Assigned,55025010904,55025.0,WI,Dane County,55025010904.0,1.0,,,Urban,,Mismatch
2331,53527,55025.0,12001,3027.0,Assigned,55025012001,55025.0,WI,Dane County,55025012001.0,1.0,,,Urban,,Mismatch
2333,53066,55133.0,204200,5007.0,Assigned,55133204200,55133.0,WI,Waukesha County,55133204200.0,1.0,,,Urban,,Mismatch
2337,54935,55039.0,41100,3036.0,Assigned,55039041100,55039.0,WI,Fond du Lac County,55039041100.0,1.0,,,Urban,,Mismatch
2341,53122,55133.0,201000,2005.0,Assigned,55133201000,55133.0,WI,Waukesha County,55133201000.0,1.0,,,Urban,,Mismatch
2352,53593,55025.0,10901,1151.0,Assigned,55025010901,55025.0,WI,Dane County,55025010901.0,1.0,,,Urban,,Mismatch
2353,53562,55025.0,11102,6000.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2361,53593,55025.0,10904,1002.0,Assigned,55025010904,55025.0,WI,Dane County,55025010904.0,1.0,,,Urban,,Mismatch
2364,54901,55139.0,500,1019.0,Assigned,55139000500,55139.0,WI,Winnebago County,55139000500.0,1.0,,,Urban,,Mismatch
2372,53719,55025.0,503,3022.0,Assigned,55025000503,55025.0,WI,Dane County,55025000503.0,1.0,,,Urban,,Mismatch
2373,53593,55025.0,10901,1151.0,Assigned,55025010901,55025.0,WI,Dane County,55025010901.0,1.0,,,Urban,,Mismatch
2378,53719,55025.0,503,3022.0,Assigned,55025000503,55025.0,WI,Dane County,55025000503.0,1.0,,,Urban,,Mismatch
2380,53719,55025.0,503,3022.0,Assigned,55025000503,55025.0,WI,Dane County,55025000503.0,1.0,,,Urban,,Mismatch
2388,54636,55063.0,10201,2050.0,Assigned,55063010201,55063.0,WI,La Crosse County,55063010201.0,1.0,,,Urban,,Mismatch
2391,53704,55025.0,1900,5014.0,Assigned,55025001900,55025.0,WI,Dane County,55025001900.0,1.0,,,Urban,,Mismatch
2396,53703,55025.0,1900,4019.0,Assigned,55025001900,55025.0,WI,Dane County,55025001900.0,1.0,,,Urban,,Mismatch
2400,53703,55025.0,1900,4019.0,Assigned,55025001900,55025.0,WI,Dane County,55025001900.0,1.0,,,Urban,,Mismatch
2401,53703,55025.0,1900,4019.0,Assigned,55025001900,55025.0,WI,Dane County,55025001900.0,1.0,,,Urban,,Mismatch
2403,53703,55025.0,1900,4019.0,Assigned,55025001900,55025.0,WI,Dane County,55025001900.0,1.0,,,Urban,,Mismatch
2427,53711,55025.0,1403,3048.0,Assigned,55025001403,55025.0,WI,Dane County,55025001403.0,1.0,,,Urban,,Mismatch
2432,53717,55025.0,10901,1061.0,Assigned,55025010901,55025.0,WI,Dane County,55025010901.0,1.0,,,Urban,,Mismatch
2438,53405,55101.0,1100,5007.0,Assigned,55101001100,55101.0,WI,Racine County,55101001100.0,1.0,,,Urban,,Mismatch
2460,53562,55025.0,10904,2067.0,Assigned,55025010904,55025.0,WI,Dane County,55025010904.0,1.0,,,Urban,,Mismatch
2461,54935,55039.0,41100,1036.0,Assigned,55039041100,55039.0,WI,Fond du Lac County,55039041100.0,1.0,,,Urban,,Mismatch
2463,53711,55025.0,503,2001.0,Assigned,55025000503,55025.0,WI,Dane County,55025000503.0,1.0,,,Urban,,Mismatch
2464,53223,55079.0,50102,5021.0,Assigned,55079050102,55079.0,WI,Milwaukee County,55079050102.0,1.0,,,Urban,,Mismatch
2466,53562,55025.0,11102,1000.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2470,53562,55025.0,11102,6000.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2474,53562,55025.0,11102,6000.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2475,53562,55025.0,11102,6000.0,Assigned,55025011102,55025.0,WI,Dane County,55025011102.0,1.0,,,Urban,,Mismatch
2484,53045,55133.0,201202,1027.0,Assigned,55133201202,55133.0,WI,Waukesha County,55133201202.0,1.0,,,Urban,,Mismatch
2490,53045,55133.0,201202,1027.0,Assigned,55133201202,55133.0,WI,Waukesha County,55133201202.0,1.0,,,Urban,,Mismatch
2494,53066,55133.0,204200,5016.0,Assigned,55133204200,55133.0,WI,Waukesha County,55133204200.0,1.0,,,Urban,,Mismatch
