Unnamed: 0,ZipCode,CountyFIPS,CensusTract,CensusBlock,Assigned-or-Unassigned-USDA-Classification,State-County-TractFIPSCode,State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,UrbanThreshold,RuralThreshold,Urban-or-Rural-USDA-Classification,Urban-or-Rural-CENSUS-Classification
102,53590,55025.0,11600,3050.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
103,53590,55025.0,11600,3002.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
104,53590,55025.0,11505,2002.0,Assigned,55025011505,55025.0,WI,Dane County,55025011505.0,1.0,100.0,0.0,Urban,Urban
105,54956,55139.0,3200,1010.0,Assigned,55139003200,55139.0,WI,Winnebago County,55139003200.0,1.0,100.0,0.0,Urban,Urban
106,54136,55087.0,11600,4011.0,Assigned,55087011600,55087.0,WI,Outagamie County,55087011600.0,1.0,100.0,0.0,Urban,Urban
107,53590,55025.0,11505,2002.0,Assigned,55025011505,55025.0,WI,Dane County,55025011505.0,1.0,100.0,0.0,Urban,Urban
108,54720,55035.0,400,3024.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
109,54703,55035.0,1500,1064.0,Assigned,55035001500,55035.0,WI,Eau Claire County,55035001500.0,1.0,46.02228557,53.97771443,Urban,Rural
110,54703,55035.0,502,2012.0,Assigned,55035000502,55035.0,WI,Eau Claire County,55035000502.0,1.0,97.44887629,2.551123709,Urban,Urban
111,54703,55035.0,1300,1099.0,Assigned,55035001300,55035.0,WI,Eau Claire County,55035001300.0,1.0,98.73439972,1.265600281,Urban,Urban
112,54703,55035.0,1300,1099.0,Assigned,55035001300,55035.0,WI,Eau Claire County,55035001300.0,1.0,98.73439972,1.265600281,Urban,Urban
113,54703,55035.0,1300,1099.0,Assigned,55035001300,55035.0,WI,Eau Claire County,55035001300.0,1.0,98.73439972,1.265600281,Urban,Urban
114,54703,55035.0,301,2056.0,Assigned,55035000301,55035.0,WI,Eau Claire County,55035000301.0,1.0,50.88848828,49.11151172,Urban,Urban
115,53590,55025.0,11402,3124.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,
116,54915,55087.0,11600,5011.0,Assigned,55087011600,55087.0,WI,Outagamie County,55087011600.0,1.0,100.0,0.0,Urban,Urban
117,53594,55055.0,100400,2037.0,Assigned,55055100400,55055.0,WI,Jefferson County,55055100400.0,7.0,2.499577774,97.50042223,Urban,Rural
118,54494,55141.0,11000,1030.0,Assigned,55141011000,55141.0,WI,Wood County,55141011000.0,4.0,88.07726076,11.92273924,Urban,Urban
119,54703,55035.0,1101,1025.0,Assigned,55035001101,55035.0,WI,Eau Claire County,55035001101.0,1.0,100.0,0.0,Urban,Urban
120,53559,55025.0,11800,3035.0,Assigned,55025011800,55025.0,WI,Dane County,55025011800.0,2.0,0.0,100.0,Urban,Rural
121,53590,55025.0,11402,3128.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,
122,54016,55109.0,120300,1024.0,Assigned,55109120300,55109.0,WI,St. Croix County,55109120300.0,2.0,78.74329237,21.25670763,Urban,Urban
123,54729,55017.0,10700,3073.0,Assigned,55017010700,55017.0,WI,Chippewa County,55017010700.0,1.0,37.607704,62.392296,Urban,Rural
124,54703,55035.0,301,2101.0,Assigned,55035000301,55035.0,WI,Eau Claire County,55035000301.0,1.0,50.88848828,49.11151172,Urban,Urban
125,54720,55035.0,400,3024.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
126,54703,55035.0,1300,1082.0,Assigned,55035001300,55035.0,WI,Eau Claire County,55035001300.0,1.0,98.73439972,1.265600281,Urban,Urban
127,54701,55035.0,803,2025.0,Assigned,55035000803,55035.0,WI,Eau Claire County,55035000803.0,1.0,100.0,0.0,Urban,Urban
128,54494,55141.0,11000,1030.0,Assigned,55141011000,55141.0,WI,Wood County,55141011000.0,4.0,88.07726076,11.92273924,Urban,Urban
129,54494,55141.0,11300,3066.0,Assigned,55141011300,55141.0,WI,Wood County,55141011300.0,4.0,99.1958901,0.804109895,Urban,Urban
130,54646,55057.0,100100,2085.0,Assigned,55057100100,55057.0,WI,Juneau County,55057100100.0,10.0,0.0,100.0,Rural,Rural
131,54401,55073.0,602,2019.0,Assigned,55073000602,55073.0,WI,Marathon County,55073000602.0,1.0,100.0,0.0,Urban,Urban
132,54701,,0,,Unassigned,0,,,,,,,,Unknown,
133,54613,55001.0,950202,2083.0,Assigned,55001950202,55001.0,WI,Adams County,55001950202.0,10.0,,,Rural,
134,54701,55035.0,302,1025.0,Assigned,55035000302,55035.0,WI,Eau Claire County,55035000302.0,1.0,51.48763293,48.51236707,Urban,Urban
135,54703,55017.0,10100,2073.0,Assigned,55017010100,55017.0,WI,Chippewa County,55017010100.0,1.0,100.0,0.0,Urban,Urban
136,53590,55025.0,11600,2013.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
137,53590,55025.0,11600,2013.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
138,53704,55025.0,2602,1005.0,Assigned,55025002602,55025.0,WI,Dane County,55025002602.0,1.0,99.42014579,0.579854208,Urban,Urban
139,53590,55025.0,11503,1019.0,Assigned,55025011503,55025.0,WI,Dane County,55025011503.0,1.0,,,Urban,
140,53559,55025.0,11800,3002.0,Assigned,55025011800,55025.0,WI,Dane County,55025011800.0,2.0,0.0,100.0,Urban,Rural
141,54729,55017.0,10700,2013.0,Assigned,55017010700,55017.0,WI,Chippewa County,55017010700.0,1.0,37.607704,62.392296,Urban,Rural
142,53590,55025.0,11503,1057.0,Assigned,55025011503,55025.0,WI,Dane County,55025011503.0,1.0,,,Urban,
143,54701,55035.0,1600,3024.0,Assigned,55035001600,55035.0,WI,Eau Claire County,55035001600.0,2.0,1.038643654,98.96135635,Urban,Rural
144,54646,55057.0,100300,3024.0,Assigned,55057100300,55057.0,WI,Juneau County,55057100300.0,9.0,,,Rural,
145,53589,55025.0,12300,4034.0,Assigned,55025012300,55025.0,WI,Dane County,55025012300.0,1.0,88.20468343,11.79531657,Urban,Urban
146,53590,55025.0,11503,2005.0,Assigned,55025011503,55025.0,WI,Dane County,55025011503.0,1.0,,,Urban,
147,54703,55035.0,1300,1073.0,Assigned,55035001300,55035.0,WI,Eau Claire County,55035001300.0,1.0,98.73439972,1.265600281,Urban,Urban
148,53594,55027.0,961800,3076.0,Assigned,55027961800,55027.0,WI,Dodge County,55027961800.0,3.0,1.856407962,98.14359204,Urban,Rural
149,54720,55035.0,400,2005.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
150,54703,55035.0,1300,1073.0,Assigned,55035001300,55035.0,WI,Eau Claire County,55035001300.0,1.0,98.73439972,1.265600281,Urban,Urban
151,53590,55025.0,11402,3171.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,
152,53590,55025.0,11402,3171.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,
153,53186,55133.0,202500,3014.0,Assigned,55133202500,55133.0,WI,Waukesha County,55133202500.0,1.0,99.73091977,0.269080235,Urban,Urban
154,53590,55025.0,11600,2043.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
155,53590,55025.0,11600,2018.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
156,53590,55025.0,11600,2018.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
157,54720,55035.0,400,4008.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
158,53213,55079.0,91200,1002.0,Assigned,55079091200,55079.0,WI,Milwaukee County,55079091200.0,1.0,100.0,0.0,Urban,Urban
159,53590,55025.0,11600,2040.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
160,53590,55025.0,11600,2040.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
161,53590,55025.0,11600,2014.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
162,54703,55035.0,301,1026.0,Assigned,55035000301,55035.0,WI,Eau Claire County,55035000301.0,1.0,50.88848828,49.11151172,Urban,Urban
163,54720,55035.0,400,5037.0,Assigned,55035000400,55035.0,WI,Eau Claire County,55035000400.0,1.0,,,Urban,
164,53589,55025.0,12300,2035.0,Assigned,55025012300,55025.0,WI,Dane County,55025012300.0,1.0,88.20468343,11.79531657,Urban,Urban
165,53532,55025.0,13301,2022.0,Assigned,55025013301,55025.0,WI,Dane County,55025013301.0,1.0,92.63322884,7.36677116,Urban,Urban
166,53532,55025.0,13301,2022.0,Assigned,55025013301,55025.0,WI,Dane County,55025013301.0,1.0,92.63322884,7.36677116,Urban,Urban
167,54701,55035.0,801,4017.0,Assigned,55035000801,55035.0,WI,Eau Claire County,55035000801.0,1.0,100.0,0.0,Urban,Urban
168,54703,55035.0,301,1026.0,Assigned,55035000301,55035.0,WI,Eau Claire County,55035000301.0,1.0,50.88848828,49.11151172,Urban,Urban
169,53590,55025.0,11503,2059.0,Assigned,55025011503,55025.0,WI,Dane County,55025011503.0,1.0,,,Urban,
170,53590,55025.0,11506,2009.0,Assigned,55025011506,55025.0,WI,Dane County,55025011506.0,1.0,98.972854,1.027146001,Urban,Urban
171,53590,55025.0,11600,2040.0,Assigned,55025011600,55025.0,WI,Dane County,55025011600.0,1.0,96.67477697,3.325223033,Urban,Urban
172,53590,55025.0,11506,2008.0,Assigned,55025011506,55025.0,WI,Dane County,55025011506.0,1.0,98.972854,1.027146001,Urban,Urban
173,53532,55025.0,13200,2113.0,Assigned,55025013200,55025.0,WI,Dane County,55025013200.0,1.0,,,Urban,
174,53593,55025.0,10800,3001.0,Assigned,55025010800,55025.0,WI,Dane County,55025010800.0,1.0,,,Urban,
175,53593,55025.0,10800,3001.0,Assigned,55025010800,55025.0,WI,Dane County,55025010800.0,1.0,,,Urban,
176,54738,55035.0,1600,2069.0,Assigned,55035001600,55035.0,WI,Eau Claire County,55035001600.0,2.0,1.038643654,98.96135635,Urban,Rural
177,53590,55025.0,11504,1011.0,Assigned,55025011504,55025.0,WI,Dane County,55025011504.0,1.0,100.0,0.0,Urban,Urban
178,53590,55025.0,11402,1000.0,Assigned,55025011402,55025.0,WI,Dane County,55025011402.0,1.0,,,Urban,
179,53590,55025.0,11504,1014.0,Assigned,55025011504,55025.0,WI,Dane County,55025011504.0,1.0,100.0,0.0,Urban,Urban
180,53590,55025.0,11503,2012.0,Assigned,55025011503,55025.0,WI,Dane County,55025011503.0,1.0,,,Urban,
181,53718,55025.0,11401,2015.0,Assigned,55025011401,55025.0,WI,Dane County,55025011401.0,1.0,,,Urban,
182,54701,55035.0,700,3002.0,Assigned,55035000700,55035.0,WI,Eau Claire County,55035000700.0,1.0,100.0,0.0,Urban,Urban
183,54703,55035.0,502,3025.0,Assigned,55035000502,55035.0,WI,Eau Claire County,55035000502.0,1.0,97.44887629,2.551123709,Urban,Urban
184,54703,55035.0,1200,6014.0,Assigned,55035001200,55035.0,WI,Eau Claire County,55035001200.0,1.0,100.0,0.0,Urban,Urban
185,54005,55095.0,961100,3045.0,Assigned,55095961100,55095.0,WI,Polk County,55095961100.0,10.0,0.0,100.0,Rural,Rural
186,54001,55095.0,961000,3037.0,Assigned,55095961000,55095.0,WI,Polk County,55095961000.0,7.0,0.0,100.0,Urban,Rural
187,54020,55095.0,960800,1073.0,Assigned,55095960800,55095.0,WI,Polk County,55095960800.0,7.0,0.0,100.0,Urban,Rural
188,54028,55109.0,120800,3007.0,Assigned,55109120800,55109.0,WI,St. Croix County,55109120800.0,7.0,,,Urban,
189,54017,55109.0,120600,3033.0,Assigned,55109120600,55109.0,WI,St. Croix County,55109120600.0,2.0,,,Urban,
190,54013,55109.0,120700,2062.0,Assigned,55109120700,55109.0,WI,St. Croix County,55109120700.0,10.0,0.0,100.0,Rural,Rural
191,54017,55109.0,120501,2017.0,Assigned,55109120501,55109.0,WI,St. Croix County,55109120501.0,7.0,70.62049514,29.37950486,Urban,Urban
192,54017,55109.0,120600,5047.0,Assigned,55109120600,55109.0,WI,St. Croix County,55109120600.0,2.0,,,Urban,
193,54017,55109.0,120600,1054.0,Assigned,55109120600,55109.0,WI,St. Croix County,55109120600.0,2.0,,,Urban,
194,54016,55109.0,120904,2017.0,Assigned,55109120904,55109.0,WI,St. Croix County,55109120904.0,2.0,0.382624353,99.61737565,Urban,Rural
195,54025,55109.0,120600,3024.0,Assigned,55109120600,55109.0,WI,St. Croix County,55109120600.0,2.0,,,Urban,
196,54739,55033.0,970400,1049.0,Assigned,55033970400,55033.0,WI,Dunn County,55033970400.0,2.0,0.0,100.0,Urban,Rural
197,54016,55109.0,120201,2005.0,Assigned,55109120201,55109.0,WI,St. Croix County,55109120201.0,2.0,99.9002991,0.099700897,Urban,Urban
198,54017,,0,,Unassigned,0,,,,,,,,Unknown,
199,54005,55095.0,961100,1101.0,Assigned,55095961100,55095.0,WI,Polk County,55095961100.0,10.0,0.0,100.0,Rural,Rural
