ZipCode,CountyFIPS,CensusTract,CensusBlock
53223,55079,800,1002
53207,55079,20600,1005
53718,55025,11402,1038
53217,55079,30100,3000
53217,55079,70100,1011
53132,55079,150100,3034
53072,55133,203304,2050
53217,55079,35200,2011
53132,55079,150303,2021
53118,55133,204004,3018
53024,55089,640200,2006
53534,,,
53536,55105,2900,5087
53217,55079,35100,1008
53150,55133,201703,3009
53220,55079,120201,2003
53405,55101,600,2004
53066,55133,204100,1006
53189,55133,202102,3003
53066,55133,204502,3007
53704,55025,2100,4010
53151,55133,201402,2015
53219,55079,19200,2001
53029,55133,203601,2003
53549,55055,101000,3022
53217,55079,40100,1038
53217,55079,35200,2011
53132,55079,150303,1001
53066,55133,204502,3007
53590,55025,11600,3031
53017,55131,460101,3028
53223,55079,700,2006
53188,55133,203804,1009
53211,55079,7700,3006
53217,55079,35100,1008
53151,55133,201504,1025
53207,55079,18300,1011
53188,55133,203804,2000
53718,55025,11402,1044
53217,55079,30100,1005
53214,55079,100600,1000
53154,55079,160300,3025
53066,55133,204004,1000
53066,55133,204100,4068
53217,55079,35200,2011
53227,55079,101300,2004
53038,55055,100700,1034
53511,55105,2602,2103
53718,55025,11402,1050
53217,55079,35100,3004
53132,55079,187200,3004
53072,55133,203704,3033
53217,55079,70200,1000
53182,55101,1801,2018
53217,55079,35200,1005
53132,55079,187200,2019
53151,55133,201506,3009
53072,55133,203306,1013
53189,55133,202302,6003
53132,55079,150304,2008
53105,55059,2800,4038
53132,55079,150100,1001
53066,55133,204501,2046
53227,55079,101300,2004
53132,55079,150100,1010
53545,55105,700,3017
53066,55133,203702,1024
53154,55079,160100,3015
53154,55079,160300,4020
53178,55055,100800,3020
54901,55139,200,1014
53511,55105,2601,2003
53017,55131,460101,3028
53511,55105,2200,2032
53132,55079,150304,2001
53228,55079,120101,2012
53219,,,
53217,55079,30100,2004
53110,55079,180100,3012
54902,55139,1400,1006
53209,55079,900,1024
53045,55133,201202,2009
53017,55131,460101,3028
53225,55079,301,1004
53029,55133,203405,1025
53228,55079,120101,2012
53051,55133,200101,1002
54904,55139,1804,1015
53202,55079,14400,1025
54452,55069,960700,3084
54913,55087,12503,1008
54601,55063,1000,3009
53098,55027,961900,3004
53217,55079,35200,3019
53224,55079,304,2015
53150,55133,201703,3011
53221,55079,21700,4005
53110,55079,180400,2002
53217,55079,35200,4006
53217,55079,35200,1019
53045,55133,201202,2009
53151,55133,201403,1000
53130,55079,130100,3000
53072,55133,203200,3027
53220,55079,120501,1009
53209,55079,60102,2024
53228,55079,120101,1019
53716,55025,10400,1013
53228,55079,120101,1019
53132,55079,150304,1022
53228,55079,120101,1019
53716,55025,10400,1013
53095,55131,400104,3034
54106,55087,12800,4039
53562,55025,10901,1101
53095,,,
53033,55131,460102,2001
53063,55071,10600,3018
53562,55025,10901,1101
54703,55035,501,4006
54304,55009,700,3003
54601,55063,400,5015
54304,55009,700,3003
53563,55105,3100,2033
54601,55063,10700,2020
53132,55079,150100,3010
54165,55087,13100,2011
54601,55063,10700,1046
54956,55139,3702,1003
54601,55063,10700,1046
54165,55087,13100,1056
54961,55135,100900,1041
54730,55033,970300,3067
54730,55033,970300,3069
53215,55079,18900,1007
53149,55133,203802,1029
54964,55139,2000,4115
53178,55055,100800,2039
53590,55025,11503,2050
53066,55133,204100,1016
53559,55025,11800,1073
53172,55079,170400,2013
53108,55101,1601,2016
53150,55133,201704,2012
53210,55079,6200,3005
53029,55133,203704,2024
53186,55133,202400,1000
53089,55133,203303,1007
53217,55079,60200,1032
53718,55025,11401,1022
53227,55079,19400,2003
53221,55079,20200,2006
54913,55087,12503,1008
54915,55139,2500,1011
54601,55063,400,5015
53719,55025,10702,4001
53206,55079,6500,2001
