State-County FIPS Code,Select State,Select County,Total-FIPS-Code,Primary RUCA Code 2010,"Secondary RUCA Code, 2010 (see errata)","Tract Population, 2010","Land Area (square miles), 2010","Population Density (per square mile), 2010",Urban-or-Rural-USDA-Classification
55133,WI,Waukesha County,55133201101,1,1.0,"4,656",3.7,"1,258.90",Urban
55133,WI,Waukesha County,55133201102,1,1.0,"2,867",1.9,"1,504.00",Urban
55133,WI,Waukesha County,55133201201,1,1.0,"2,119",2.3,911.5,Urban
55133,WI,Waukesha County,55133201202,1,1.0,"6,032",3.8,"1,593.10",Urban
55133,WI,Waukesha County,55133201203,1,1.0,"3,233",2.3,"1,378.20",Urban
55133,WI,Waukesha County,55133201300,1,1.0,"4,855",7.7,629.6,Urban
55133,WI,Waukesha County,55133201402,1,1.0,"4,656",2.0,"2,286.00",Urban
55133,WI,Waukesha County,55133201403,1,1.0,"4,265",1.9,"2,234.70",Urban
55133,WI,Waukesha County,55133201404,1,1.0,"3,844",2.9,"1,328.20",Urban
55133,WI,Waukesha County,55133201503,1,1.0,"6,647",2.0,"3,256.20",Urban
55133,WI,Waukesha County,55133201504,1,1.0,"6,210",2.5,"2,506.10",Urban
55133,WI,Waukesha County,55133201505,1,1.0,"2,936",2.4,"1,220.20",Urban
55133,WI,Waukesha County,55133201506,1,1.0,"4,697",4.8,976.8,Urban
55133,WI,Waukesha County,55133201600,1,1.0,"5,117",13.0,393.7,Urban
55133,WI,Waukesha County,55133201701,1,1.0,"4,594",1.9,"2,460.30",Urban
55133,WI,Waukesha County,55133201703,1,1.0,"6,097",2.6,"2,326.20",Urban
55133,WI,Waukesha County,55133201704,1,1.0,"5,206",8.8,592.2,Urban
55133,WI,Waukesha County,55133201800,1,1.0,"1,503",1.9,781.7,Urban
55133,WI,Waukesha County,55133201900,1,1.0,"5,169",14.8,350.3,Urban
55133,WI,Waukesha County,55133202001,1,1.0,"4,995",20.6,242.9,Urban
55133,WI,Waukesha County,55133202002,1,1.0,"4,030",14.3,281.5,Urban
55133,WI,Waukesha County,55133202101,1,1.0,"4,094",6.6,622.7,Urban
55133,WI,Waukesha County,55133202102,1,1.0,"4,650",7.3,637.3,Urban
55133,WI,Waukesha County,55133202103,1,1.0,"3,409",5.6,605.3,Urban
55133,WI,Waukesha County,55133202201,1,1.0,"4,329",2.1,"2,072.70",Urban
55133,WI,Waukesha County,55133202202,1,1.0,"5,774",1.2,"4,852.00",Urban
55133,WI,Waukesha County,55133202301,1,1.0,"4,494",2.8,"1,607.20",Urban
55133,WI,Waukesha County,55133202302,1,1.0,"6,832",2.1,"3,228.40",Urban
55133,WI,Waukesha County,55133202400,1,1.0,"5,003",1.3,"3,922.40",Urban
55133,WI,Waukesha County,55133202500,1,1.0,"3,998",1.6,"2,523.00",Urban
55133,WI,Waukesha County,55133202600,1,1.0,"3,498",0.5,"7,315.60",Urban
